id,port_id,data_src_c,port_coor_,cntr_code,port_name,rep_mar_l,source,traffic,geom
11,DKASH,5106,7,DK,Aggersund Havn,,GISCO,0,0103000020E86400000100000021000000FABBC30CBCA91F41749CDE8F7A195841C247E4306FA91F4176C616CA49195841A9E767918BA81F415A4121E41A1958411FC8A5ED19A71F41D1E95FABEF1858411AC81B7A28A51F41B21B09C9C918584123E6AE54CAA21F41B27BD0B1AA1858419E6D99C816A01F41B959949793185841E01B4169289D1F41B7939C5D85185841FABBC30C1C9A1F41749CDE8F80185841145C46B00F971F41B7939C5D85185841560AEE5021941F41B959949793185841D191D8C46D911F41B27BD0B1AA185841DAAF6B9F0F8F1F41B21B09C9C9185841D5AFE12B1E8D1F41D1E95FABEF1858414B901F88AC8B1F415A4121E41A1958413230A3E8C88A1F4176C616CA49195841FABBC30C7C8A1F41749CDE8F7A1958413230A3E8C88A1F417272A655AB1958414B901F88AC8B1F418EF79B3BDA195841D5AFE12B1E8D1F41174F5D74051A5841DAAF6B9F0F8F1F41361DB4562B1A5841D191D8C46D911F4136BDEC6D4A1A5841560AEE5021941F412FDF2888611A5841145C46B00F971F4131A520C26F1A5841FABBC30C1C9A1F41749CDE8F741A5841E01B4169289D1F4131A520C26F1A58419E6D99C816A01F412FDF2888611A584123E6AE54CAA21F4136BDEC6D4A1A58411AC81B7A28A51F41361DB4562B1A58411FC8A5ED19A71F41174F5D74051A5841A9E767918BA81F418EF79B3BDA195841C247E4306FA91F417272A655AB195841FABBC30CBCA91F41749CDE8F7A195841
12,DKASK,2109,8,DK,Askø,,GISCO,0,0103000020E86400000100000021000000EBA6A2BF83262441F732A57E2C365741CFECB2515D262441F95CDDB8FB355741C2BCF481EB252441DDD7E7D2CC355741FDAC13B0322524415480269AA1355741FBAC4EF63924244135B2CFB77B355741003C98E30A232441351297A05C355741BD7F8D1DB12124413CF05A8645355741DE56E1ED392024413A2A634C37355741EBA6A2BFB31E2441F732A57E32355741F8F663912D1D24413A2A634C3735574119CEB761B61B24413CF05A8645355741D611AD9B5C1A2441351297A05C355741DBA0F6882D19244135B2CFB77B355741D9A031CF341824415480269AA1355741149150FD7B172441DDD7E7D2CC3557410761922D0A172441F95CDDB8FB355741EBA6A2BFE3162441F732A57E2C3657410761922D0A172441F5086D445D365741149150FD7B172441118E622A8C365741D9A031CF341824419AE52363B7365741DBA0F6882D192441B9B37A45DD365741D611AD9B5C1A2441B953B35CFC36574119CEB761B61B2441B275EF7613375741F8F663912D1D2441B43BE7B021375741EBA6A2BFB31E2441F732A57E26375741DE56E1ED39202441B43BE7B021375741BD7F8D1DB1212441B275EF7613375741003C98E30A232441B953B35CFC365741FBAC4EF639242441B9B37A45DD365741FDAC13B0322524419AE52363B7365741C2BCF481EB252441118E622A8C365741CFECB2515D262441F5086D445D365741EBA6A2BF83262441F732A57E2C365741
13,DKASN,9998,7,DK,Assens,,GISCO,0,0103000020E86400000100000021000000F070391ECF00214132AFFE90C65D5741D4B649B0A800214134D936CB955D5741C7868BE036002141185441E5665D57410277AA0E7EFF20418FFC7FAC3B5D57410077E55485FE2041702E29CA155D574105062F4256FD2041708EF0B2F65C5741C249247CFCFB2041776CB498DF5C5741E320784C85FA204175A6BC5ED15C5741F070391EFFF8204132AFFE90CC5C5741FDC0FAEF78F7204175A6BC5ED15C57411E984EC001F62041776CB498DF5C5741DBDB43FAA7F42041708EF0B2F65C5741E06A8DE778F32041702E29CA155D5741DE6AC82D80F220418FFC7FAC3B5D5741195BE75BC7F12041185441E5665D57410C2B298C55F1204134D936CB955D5741F070391E2FF1204132AFFE90C65D57410C2B298C55F120413085C656F75D5741195BE75BC7F120414C0ABC3C265E5741DE6AC82D80F22041D5617D75515E5741E06A8DE778F32041F42FD457775E5741DBDB43FAA7F42041F4CF0C6F965E57411E984EC001F62041EDF14889AD5E5741FDC0FAEF78F72041EFB740C3BB5E5741F070391EFFF8204132AFFE90C05E5741E320784C85FA2041EFB740C3BB5E5741C249247CFCFB2041EDF14889AD5E574105062F4256FD2041F4CF0C6F965E57410077E55485FE2041F42FD457775E57410277AA0E7EFF2041D5617D75515E5741C7868BE0360021414C0ABC3C265E5741D4B649B0A80021413085C656F75D5741F070391ECF00214132AFFE90C65D5741
14,DKASV,2111,1,DK,Asnæsværkets Havn,Asnæsværkets Havn,GISCO,1,0103000020E8640000010000002100000006EE5F0C644A2341DDC50321328A5741EA33709E3D4A2341DFEF3B5B018A5741DD03B2CECB492341C36A4675D289574118F4D0FC124923413A13853CA789574116F40B431A4823411B452E5A818957411B835530EB4623411BA5F54262895741D8C64A6A914523412283B9284B895741F99D9E3A1A44234120BDC1EE3C89574106EE5F0C94422341DDC5032138895741133E21DE0D41234120BDC1EE3C895741341575AE963F23412283B9284B895741F1586AE83C3E23411BA5F54262895741F6E7B3D50D3D23411B452E5A81895741F4E7EE1B153C23413A13853CA78957412FD80D4A5C3B2341C36A4675D289574122A84F7AEA3A2341DFEF3B5B018A574106EE5F0CC43A2341DDC50321328A574122A84F7AEA3A2341DB9BCBE6628A57412FD80D4A5C3B2341F720C1CC918A5741F4E7EE1B153C234180788205BD8A5741F6E7B3D50D3D23419F46D9E7E28A5741F1586AE83C3E23419FE611FF018B5741341575AE963F234198084E19198B5741133E21DE0D4123419ACE4553278B574106EE5F0C94422341DDC503212C8B5741F99D9E3A1A4423419ACE4553278B5741D8C64A6A9145234198084E19198B57411B835530EB4623419FE611FF018B574116F40B431A4823419F46D9E7E28A574118F4D0FC1249234180788205BD8A5741DD03B2CECB492341F720C1CC918A5741EA33709E3D4A2341DB9BCBE6628A574106EE5F0C644A2341DDC50321328A5741
15,DKAUB,2108,8,DK,Augustenborg,,GISCO,0,0103000020E86400000100000021000000FCCB5A9730FF204192F03D9B2B3A5741E0116B290AFF2041941A76D5FA395741D3E1AC5998FE2041789580EFCB3957410ED2CB87DFFD2041EF3DBFB6A03957410CD206CEE6FC2041D06F68D47A395741116150BBB7FB2041D0CF2FBD5B395741CEA445F55DFA2041D7ADF3A244395741EF7B99C5E6F82041D5E7FB6836395741FCCB5A9760F7204192F03D9B31395741091C1C69DAF52041D5E7FB68363957412AF36F3963F42041D7ADF3A244395741E736657309F32041D0CF2FBD5B395741ECC5AE60DAF12041D06F68D47A395741EAC5E9A6E1F02041EF3DBFB6A039574125B608D528F02041789580EFCB39574118864A05B7EF2041941A76D5FA395741FCCB5A9790EF204192F03D9B2B3A574118864A05B7EF204190C605615C3A574125B608D528F02041AC4BFB468B3A5741EAC5E9A6E1F0204135A3BC7FB63A5741ECC5AE60DAF1204154711362DC3A5741E736657309F3204154114C79FB3A57412AF36F3963F420414D338893123B5741091C1C69DAF520414FF97FCD203B5741FCCB5A9760F7204192F03D9B253B5741EF7B99C5E6F820414FF97FCD203B5741CEA445F55DFA20414D338893123B5741116150BBB7FB204154114C79FB3A57410CD206CEE6FC204154711362DC3A57410ED2CB87DFFD204135A3BC7FB63A5741D3E1AC5998FE2041AC4BFB468B3A5741E0116B290AFF204190C605615C3A5741FCCB5A9730FF204192F03D9B2B3A5741
16,DKAVE,2109,1,DK,Avedøreværkets Havn,Avedøreværkets Havn,GISCO,1,0103000020E86400000100000021000000D6D54BA729FC2541043C88B9A4865741BA1B5C3903FC25410666C0F373865741ADEB9D6991FB2541EAE0CA0D45865741E8DBBC97D8FA2541618909D519865741E6DBF7DDDFF9254142BBB2F2F3855741EB6A41CBB0F82541421B7ADBD4855741A8AE360557F7254149F93DC1BD855741C9858AD5DFF5254147334687AF855741D6D54BA759F42541043C88B9AA855741E3250D79D3F2254147334687AF85574104FD60495CF1254149F93DC1BD855741C140568302F02541421B7ADBD4855741C6CF9F70D3EE254142BBB2F2F3855741C4CFDAB6DAED2541618909D519865741FFBFF9E421ED2541EAE0CA0D45865741F28F3B15B0EC25410666C0F373865741D6D54BA789EC2541043C88B9A4865741F28F3B15B0EC25410212507FD5865741FFBFF9E421ED25411E97456504875741C4CFDAB6DAED2541A7EE069E2F875741C6CF9F70D3EE2541C6BC5D8055875741C140568302F02541C65C96977487574104FD60495CF12541BF7ED2B18B875741E3250D79D3F22541C144CAEB99875741D6D54BA759F42541043C88B99E875741C9858AD5DFF52541C144CAEB99875741A8AE360557F72541BF7ED2B18B875741EB6A41CBB0F82541C65C969774875741E6DBF7DDDFF92541C6BC5D8055875741E8DBBC97D8FA2541A7EE069E2F875741ADEB9D6991FB25411E97456504875741BA1B5C3903FC25410212507FD5865741D6D54BA729FC2541043C88B9A4865741
17,DKAVK,5105,7,DK,Avernakø/Lyø,,GISCO,0,0103000020E86400000100000021000000FF6DEE7B6EBD2141B5BC98AB9D445741E3B3FE0D48BD2141B7E6D0E56C445741D683403ED6BC21419B61DBFF3D44574111745F6C1DBC2141120A1AC7124457410F749AB224BB2141F33BC3E4EC4357411403E49FF5B92141F39B8ACDCD435741D146D9D99BB82141FA794EB3B6435741F21D2DAA24B72141F8B35679A8435741FF6DEE7B9EB52141B5BC98ABA34357410CBEAF4D18B42141F8B35679A84357412D95031EA1B22141FA794EB3B6435741EAD8F85747B12141F39B8ACDCD435741EF67424518B02141F33BC3E4EC435741ED677D8B1FAF2141120A1AC71244574128589CB966AE21419B61DBFF3D4457411B28DEE9F4AD2141B7E6D0E56C445741FF6DEE7BCEAD2141B5BC98AB9D4457411B28DEE9F4AD2141B3926071CE44574128589CB966AE2141CF175657FD445741ED677D8B1FAF2141586F179028455741EF67424518B02141773D6E724E455741EAD8F85747B1214177DDA6896D4557412D95031EA1B2214170FFE2A3844557410CBEAF4D18B4214172C5DADD92455741FF6DEE7B9EB52141B5BC98AB97455741F21D2DAA24B7214172C5DADD92455741D146D9D99BB8214170FFE2A3844557411403E49FF5B9214177DDA6896D4557410F749AB224BB2141773D6E724E45574111745F6C1DBC2141586F179028455741D683403ED6BC2141CF175657FD445741E3B3FE0D48BD2141B3926071CE445741FF6DEE7B6EBD2141B5BC98AB9D445741
18,DKBAG,2101,1,DK,Bagenkop,Bagenkop,GISCO,1,0103000020E86400000100000021000000FA41ADA8EC932241AA0927303D265741DE87BD3AC6932241AC335F6A0C265741D157FF6A5493224190AE6984DD2557410C481E999B9222410757A84BB22557410A4859DFA2912241E88851698C2557410FD7A2CC73902241E8E818526D255741CC1A98061A8F2241EFC6DC3756255741EDF1EBD6A28D2241ED00E5FD47255741FA41ADA81C8C2241AA0927304325574107926E7A968A2241ED00E5FD472557412869C24A1F892241EFC6DC3756255741E5ACB784C5872241E8E818526D255741EA3B017296862241E88851698C255741E83B3CB89D8522410757A84BB2255741232C5BE6E484224190AE6984DD25574116FC9C1673842241AC335F6A0C265741FA41ADA84C842241AA0927303D26574116FC9C1673842241A8DFEEF56D265741232C5BE6E4842241C464E4DB9C265741E83B3CB89D8522414DBCA514C8265741EA3B0172968622416C8AFCF6ED265741E5ACB784C58722416C2A350E0D2757412869C24A1F892241654C71282427574107926E7A968A22416712696232275741FA41ADA81C8C2241AA09273037275741EDF1EBD6A28D22416712696232275741CC1A98061A8F2241654C7128242757410FD7A2CC739022416C2A350E0D2757410A4859DFA29122416C8AFCF6ED2657410C481E999B9222414DBCA514C8265741D157FF6A54932241C464E4DB9C265741DE87BD3AC6932241A8DFEEF56D265741FA41ADA8EC932241AA0927303D265741
19,DKBDX,5106,6,DK,Bandholm (Maribo),,GISCO,0,0103000020E86400000100000021000000A67D3688562B2441166DD855F33057418AC3461A302B244118971090C23057417D93884ABE2A2441FC111BAA93305741B883A778052A244173BA597168305741B683E2BE0C29244154EC028F42305741BB122CACDD272441544CCA7723305741785621E6832624415B2A8E5D0C305741992D75B60C25244159649623FE2F5741A67D368886232441166DD855F92F5741B3CDF7590022244159649623FE2F5741D4A44B2A892024415B2A8E5D0C30574191E840642F1F2441544CCA772330574196778A51001E244154EC028F423057419477C597071D244173BA597168305741CF67E4C54E1C2441FC111BAA93305741C23726F6DC1B244118971090C2305741A67D3688B61B2441166DD855F3305741C23726F6DC1B24411443A01B24315741CF67E4C54E1C244130C89501533157419477C597071D2441B91F573A7E31574196778A51001E2441D8EDAD1CA431574191E840642F1F2441D88DE633C3315741D4A44B2A89202441D1AF224EDA315741B3CDF75900222441D3751A88E8315741A67D368886232441166DD855ED315741992D75B60C252441D3751A88E8315741785621E683262441D1AF224EDA315741BB122CACDD272441D88DE633C3315741B683E2BE0C292441D8EDAD1CA4315741B883A778052A2441B91F573A7E3157417D93884ABE2A244130C89501533157418AC3461A302B24411443A01B24315741A67D3688562B2441166DD855F3305741
20,DKBGO,5106,7,DK,Bågø,,GISCO,0,0103000020E86400000100000021000000A9D90E33ACD620412CFDFB519A6357418D1F1FC585D620412E27348C6963574180EF60F513D6204112A23EA63A635741BBDF7F235BD52041894A7D6D0F635741B9DFBA6962D420416A7C268BE9625741BE6E045733D320416ADCED73CA6257417BB2F990D9D1204171BAB159B36257419C894D6162D020416FF4B91FA5625741A9D90E33DCCE20412CFDFB51A0625741B629D00456CD20416FF4B91FA5625741D70024D5DECB204171BAB159B36257419444190F85CA20416ADCED73CA62574199D362FC55C920416A7C268BE962574197D39D425DC82041894A7D6D0F635741D2C3BC70A4C7204112A23EA63A635741C593FEA032C720412E27348C69635741A9D90E330CC720412CFDFB519A635741C593FEA032C720412AD3C317CB635741D2C3BC70A4C720414658B9FDF963574197D39D425DC82041CFAF7A362564574199D362FC55C92041EE7DD1184B6457419444190F85CA2041EE1D0A306A645741D70024D5DECB2041E73F464A81645741B629D00456CD2041E9053E848F645741A9D90E33DCCE20412CFDFB51946457419C894D6162D02041E9053E848F6457417BB2F990D9D12041E73F464A81645741BE6E045733D32041EE1D0A306A645741B9DFBA6962D42041EE7DD1184B645741BBDF7F235BD52041CFAF7A362564574180EF60F513D620414658B9FDF96357418D1F1FC585D620412AD3C317CB635741A9D90E33ACD620412CFDFB519A635741
