tripid,vehid,day,seqno,geom,t
2,2,2020-06-01,1,SRID=3857;POINT(482254.056742 6580776.390412),2020-06-01 08:19:20.987089+02
2,2,2020-06-01,1,SRID=3857;POINT(482254.437063 6580781.375926),2020-06-01 08:19:22.362898+02
2,2,2020-06-01,1,SRID=3857;POINT(482254.817384 6580786.361441),2020-06-01 08:19:23.080509+02
2,2,2020-06-01,1,SRID=3857;POINT(482255.092013 6580789.961466),2020-06-01 08:19:34.737339+02
2,2,2020-06-01,1,SRID=3857;POINT(482254.888928 6580794.95734),2020-06-01 08:19:36.109809+02
2,2,2020-06-01,1,SRID=3857;POINT(482254.685844 6580799.953214),2020-06-01 08:19:36.826511+02
2,2,2020-06-01,1,SRID=3857;POINT(482254.685844 6580799.953214),2020-06-01 08:19:37.781767+02
2,2,2020-06-01,1,SRID=3857;POINT(482254.513152 6580804.201416),2020-06-01 08:19:39.05728+02
2,2,2020-06-01,1,SRID=3857;POINT(482254.238054 6580809.193842),2020-06-01 08:19:39.80728+02
2,2,2020-06-01,1,SRID=3857;POINT(482253.412761 6580824.171121),2020-06-01 08:19:41.60728+02
2,2,2020-06-01,1,SRID=3857;POINT(482253.137663 6580829.163548),2020-06-01 08:19:42.940613+02
2,2,2020-06-01,1,SRID=3857;POINT(482252.862565 6580834.155974),2020-06-01 08:19:43.646495+02
2,2,2020-06-01,1,SRID=3857;POINT(482252.587467 6580839.1484),2020-06-01 08:19:44.246495+02
2,2,2020-06-01,1,SRID=3857;POINT(482252.320158 6580843.999477),2020-06-01 08:20:00.978346+02
2,2,2020-06-01,1,SRID=3857;POINT(482252.592122 6580848.992076),2020-06-01 08:20:02.358149+02
2,2,2020-06-01,1,SRID=3857;POINT(482252.776568 6580852.378041),2020-06-01 08:20:03.527872+02
2,2,2020-06-01,1,SRID=3857;POINT(482255.087008 6580856.812212),2020-06-01 08:20:04.330144+02
2,2,2020-06-01,1,SRID=3857;POINT(482255.693139 6580857.97549),2020-06-01 08:20:05.734337+02
2,2,2020-06-01,1,SRID=3857;POINT(482259.391263 6580861.340587),2020-06-01 08:20:06.905988+02
2,2,2020-06-01,1,SRID=3857;POINT(482261.593072 6580863.344116),2020-06-01 08:20:12.608124+02
2,2,2020-06-01,1,SRID=3857;POINT(482265.877839 6580865.921084),2020-06-01 08:20:13.905004+02
2,2,2020-06-01,1,SRID=3857;POINT(482270.162607 6580868.498053),2020-06-01 08:20:14.600536+02
2,2,2020-06-01,1,SRID=3857;POINT(482270.162607 6580868.498053),2020-06-01 08:20:14.77241+02
2,2,2020-06-01,1,SRID=3857;POINT(482272.246347 6580869.751267),2020-06-01 08:20:15.50188+02
2,2,2020-06-01,1,SRID=3857;POINT(482276.370602 6580872.578017),2020-06-01 08:20:16.25188+02
2,2,2020-06-01,1,SRID=3857;POINT(482280.494858 6580875.404767),2020-06-01 08:20:16.85188+02
2,2,2020-06-01,1,SRID=3857;POINT(482280.494858 6580875.404767),2020-06-01 08:20:16.959861+02
2,2,2020-06-01,1,SRID=3857;POINT(482281.029455 6580875.771178),2020-06-01 08:20:17.154294+02
2,2,2020-06-01,1,SRID=3857;POINT(482285.086987 6580878.692895),2020-06-01 08:20:17.904294+02
2,2,2020-06-01,1,SRID=3857;POINT(482317.547242 6580902.066638),2020-06-01 08:20:22.704294+02
2,2,2020-06-01,1,SRID=3857;POINT(482318.210165 6580902.543991),2020-06-01 08:20:23.992244+02
2,2,2020-06-01,1,SRID=3857;POINT(482322.844236 6580904.421592),2020-06-01 08:20:25.252451+02
2,2,2020-06-01,1,SRID=3857;POINT(482324.900466 6580905.254721),2020-06-01 08:20:30.182073+02
2,2,2020-06-01,1,SRID=3857;POINT(482328.039676 6580905.941205),2020-06-01 08:20:33.71963+02
2,2,2020-06-01,1,SRID=3857;POINT(482328.039676 6580905.941205),2020-06-01 08:20:35.467053+02
2,2,2020-06-01,1,SRID=3857;POINT(482330.655684 6580905.606764),2020-06-01 08:20:36.258242+02
2,2,2020-06-01,1,SRID=3857;POINT(482335.564238 6580904.654877),2020-06-01 08:20:37.008242+02
2,2,2020-06-01,1,SRID=3857;POINT(482340.472793 6580903.702989),2020-06-01 08:20:37.608242+02
2,2,2020-06-01,1,SRID=3857;POINT(482340.472793 6580903.702989),2020-06-01 08:20:37.712784+02
2,2,2020-06-01,1,SRID=3857;POINT(482344.815523 6580902.860829),2020-06-01 08:20:39.039874+02
2,2,2020-06-01,1,SRID=3857;POINT(482349.695631 6580901.772462),2020-06-01 08:20:39.789874+02
2,2,2020-06-01,1,SRID=3857;POINT(482369.216064 6580897.418994),2020-06-01 08:20:42.189874+02
2,2,2020-06-01,1,SRID=3857;POINT(482369.216064 6580897.418994),2020-06-01 08:20:42.640957+02
2,2,2020-06-01,1,SRID=3857;POINT(482369.361471 6580897.386565),2020-06-01 08:20:42.68565+02
2,2,2020-06-01,1,SRID=3857;POINT(482374.212941 6580896.176923),2020-06-01 08:20:45.18565+02
2,2,2020-06-01,1,SRID=3857;POINT(482379.064412 6580894.967282),2020-06-01 08:20:46.12315+02
2,2,2020-06-01,1,SRID=3857;POINT(482380.515684 6580894.605429),2020-06-01 08:20:51.484959+02
2,2,2020-06-01,1,SRID=3857;POINT(482385.213376 6580892.893212),2020-06-01 08:20:52.869123+02
2,2,2020-06-01,1,SRID=3857;POINT(482389.911068 6580891.180996),2020-06-01 08:20:53.589+02
2,2,2020-06-01,1,SRID=3857;POINT(482436.887993 6580874.05883),2020-06-01 08:20:59.589+02
2,2,2020-06-01,1,SRID=3857;POINT(482438.902756 6580873.324488),2020-06-01 08:20:59.84633+02
2,2,2020-06-01,1,SRID=3857;POINT(482438.499815 6580878.308226),2020-06-01 08:21:00.274901+02
2,2,2020-06-01,1,SRID=3857;POINT(482436.485108 6580903.226913),2020-06-01 08:21:02.074901+02
2,2,2020-06-01,1,SRID=3857;POINT(482436.275617 6580905.81799),2020-06-01 08:21:08.054397+02
2,2,2020-06-01,1,SRID=3857;POINT(482435.38533 6580910.73809),2020-06-01 08:21:09.381334+02
2,2,2020-06-01,1,SRID=3857;POINT(482434.495043 6580915.658191),2020-06-01 08:21:10.085419+02
2,2,2020-06-01,1,SRID=3857;POINT(482433.604757 6580920.578291),2020-06-01 08:21:10.564587+02
2,2,2020-06-01,1,SRID=3857;POINT(482432.9249 6580924.33547),2020-06-01 08:21:16.511758+02
2,2,2020-06-01,1,SRID=3857;POINT(482431.331991 6580929.074947),2020-06-01 08:21:17.769508+02
2,2,2020-06-01,1,SRID=3857;POINT(482429.739082 6580933.814424),2020-06-01 08:21:18.453625+02
2,2,2020-06-01,1,SRID=3857;POINT(482428.146172 6580938.553901),2020-06-01 08:21:18.92346+02
2,2,2020-06-01,1,SRID=3857;POINT(482428.12703 6580938.610857),2020-06-01 08:21:18.927786+02
2,2,2020-06-01,1,SRID=3857;POINT(482425.77485 6580943.023027),2020-06-01 08:21:19.481632+02
2,2,2020-06-01,1,SRID=3857;POINT(482423.42267 6580947.435198),2020-06-01 08:21:19.886126+02
2,2,2020-06-01,1,SRID=3857;POINT(482421.07049 6580951.847369),2020-06-01 08:21:20.246126+02
2,2,2020-06-01,1,SRID=3857;POINT(482420.178818 6580953.519949),2020-06-01 08:21:22.637918+02
2,2,2020-06-01,1,SRID=3857;POINT(482417.077666 6580957.442047),2020-06-01 08:21:23.849804+02
2,2,2020-06-01,1,SRID=3857;POINT(482413.976513 6580961.364145),2020-06-01 08:21:24.520123+02
2,2,2020-06-01,1,SRID=3857;POINT(482410.87536 6580965.286243),2020-06-01 08:21:24.983409+02
2,2,2020-06-01,1,SRID=3857;POINT(482407.774208 6580969.208341),2020-06-01 08:21:25.343409+02
2,2,2020-06-01,1,SRID=3857;POINT(482407.05425 6580970.118888),2020-06-01 08:21:28.611225+02
2,2,2020-06-01,1,SRID=3857;POINT(482403.648306 6580973.779427),2020-06-01 08:21:29.96677+02
2,2,2020-06-01,1,SRID=3857;POINT(482400.242363 6580977.439966),2020-06-01 08:21:30.678829+02
2,2,2020-06-01,1,SRID=3857;POINT(482396.836419 6580981.100505),2020-06-01 08:21:31.161677+02
2,2,2020-06-01,1,SRID=3857;POINT(482393.430475 6580984.761044),2020-06-01 08:21:31.526945+02
2,2,2020-06-01,1,SRID=3857;POINT(482393.430475 6580984.761044),2020-06-01 08:21:32.847614+02
2,2,2020-06-01,1,SRID=3857;POINT(482391.380466 6580986.964292),2020-06-01 08:21:33.750451+02
2,2,2020-06-01,1,SRID=3857;POINT(482387.784473 6580990.438315),2020-06-01 08:21:34.500451+02
2,2,2020-06-01,1,SRID=3857;POINT(482384.188479 6580993.912337),2020-06-01 08:21:35.000451+02
2,2,2020-06-01,1,SRID=3857;POINT(482380.592486 6580997.38636),2020-06-01 08:21:35.375451+02
2,2,2020-06-01,1,SRID=3857;POINT(482344.632553 6581032.126584),2020-06-01 08:21:38.975451+02
2,2,2020-06-01,1,SRID=3857;POINT(482341.821029 6581034.842746),2020-06-01 08:21:39.256916+02
2,2,2020-06-01,1,SRID=3857;POINT(482315.559123 6581057.979563),2020-06-01 08:21:41.776916+02
2,2,2020-06-01,1,SRID=3857;POINT(482315.559123 6581057.979563),2020-06-01 08:21:41.898494+02
2,2,2020-06-01,1,SRID=3857;POINT(482313.968892 6581059.380562),2020-06-01 08:21:42.534298+02
2,2,2020-06-01,1,SRID=3857;POINT(482310.130068 6581062.584221),2020-06-01 08:21:43.284298+02
2,2,2020-06-01,1,SRID=3857;POINT(482306.291244 6581065.78788),2020-06-01 08:21:43.784298+02
2,2,2020-06-01,1,SRID=3857;POINT(482302.45242 6581068.991538),2020-06-01 08:21:44.159298+02
2,2,2020-06-01,1,SRID=3857;POINT(482274.483869 6581092.332463),2020-06-01 08:21:46.782153+02
2,2,2020-06-01,1,SRID=3857;POINT(482271.195316 6581096.098817),2020-06-01 08:21:47.436698+02
2,2,2020-06-01,1,SRID=3857;POINT(482267.906764 6581099.865172),2020-06-01 08:21:47.892394+02
2,2,2020-06-01,1,SRID=3857;POINT(482264.618212 6581103.631526),2020-06-01 08:21:48.252394+02
2,2,2020-06-01,1,SRID=3857;POINT(482264.618212 6581103.631526),2020-06-01 08:21:48.688945+02
2,2,2020-06-01,1,SRID=3857;POINT(482264.309267 6581103.985358),2020-06-01 08:21:48.829863+02
2,2,2020-06-01,1,SRID=3857;POINT(482261.161925 6581107.870488),2020-06-01 08:21:49.579863+02
2,2,2020-06-01,1,SRID=3857;POINT(482258.014584 6581111.755619),2020-06-01 08:21:50.079863+02
2,2,2020-06-01,1,SRID=3857;POINT(482254.867242 6581115.640749),2020-06-01 08:21:50.454863+02
2,2,2020-06-01,1,SRID=3857;POINT(482251.7199 6581119.52588),2020-06-01 08:21:50.814863+02
2,2,2020-06-01,1,SRID=3857;POINT(482249.236608 6581122.591297),2020-06-01 08:21:57.263483+02
2,2,2020-06-01,1,SRID=3857;POINT(482246.655257 6581126.873426),2020-06-01 08:21:58.530877+02
2,2,2020-06-01,1,SRID=3857;POINT(482244.073907 6581131.155555),2020-06-01 08:21:59.217837+02
2,2,2020-06-01,1,SRID=3857;POINT(482241.492556 6581135.437684),2020-06-01 08:21:59.689011+02
2,2,2020-06-01,1,SRID=3857;POINT(482215.67905 6581178.258974),2020-06-01 08:22:03.289011+02
2,2,2020-06-01,1,SRID=3857;POINT(482213.848142 6581181.296216),2020-06-01 08:22:12.42408+02
2,2,2020-06-01,1,SRID=3857;POINT(482211.652282 6581185.788231),2020-06-01 08:22:13.767605+02
2,2,2020-06-01,1,SRID=3857;POINT(482209.456422 6581190.280246),2020-06-01 08:22:14.476333+02
2,2,2020-06-01,1,SRID=3857;POINT(482207.260563 6581194.772261),2020-06-01 08:22:14.957647+02
2,2,2020-06-01,1,SRID=3857;POINT(482205.064703 6581199.264276),2020-06-01 08:22:15.322037+02
2,2,2020-06-01,1,SRID=3857;POINT(482202.868843 6581203.756291),2020-06-01 08:22:15.682037+02
2,2,2020-06-01,1,SRID=3857;POINT(482202.868843 6581203.756291),2020-06-01 08:22:15.72462+02
2,2,2020-06-01,1,SRID=3857;POINT(482201.870165 6581205.799262),2020-06-01 08:22:16.40682+02
2,2,2020-06-01,1,SRID=3857;POINT(482199.892827 6581210.391662),2020-06-01 08:22:17.15682+02
2,2,2020-06-01,1,SRID=3857;POINT(482197.915489 6581214.984062),2020-06-01 08:22:18.65682+02
2,2,2020-06-01,1,SRID=3857;POINT(482195.938151 6581219.576461),2020-06-01 08:22:19.40682+02
2,2,2020-06-01,1,SRID=3857;POINT(482193.960814 6581224.168861),2020-06-01 08:22:19.90682+02
2,2,2020-06-01,1,SRID=3857;POINT(482191.983476 6581228.761261),2020-06-01 08:22:20.28182+02
2,2,2020-06-01,1,SRID=3857;POINT(482191.183494 6581230.619233),2020-06-01 08:22:20.427467+02
2,2,2020-06-01,1,SRID=3857;POINT(482187.626021 6581239.965055),2020-06-01 08:22:21.147467+02
2,2,2020-06-01,1,SRID=3857;POINT(482185.847285 6581244.637966),2020-06-01 08:22:22.047467+02
2,2,2020-06-01,1,SRID=3857;POINT(482184.068549 6581249.310877),2020-06-01 08:22:22.609967+02
2,2,2020-06-01,1,SRID=3857;POINT(482184.068549 6581249.310877),2020-06-01 08:22:23.955999+02
2,2,2020-06-01,1,SRID=3857;POINT(482183.491317 6581250.827321),2020-06-01 08:22:24.442776+02
2,2,2020-06-01,1,SRID=3857;POINT(482181.839839 6581255.546708),2020-06-01 08:22:25.192776+02
2,2,2020-06-01,1,SRID=3857;POINT(482181.008892 6581257.921286),2020-06-01 08:22:31.482056+02
2,2,2020-06-01,1,SRID=3857;POINT(482181.008892 6581257.921286),2020-06-01 08:22:32.487097+02
2,2,2020-06-01,1,SRID=3857;POINT(482179.790598 6581262.770591),2020-06-01 08:22:33.987097+02
2,2,2020-06-01,1,SRID=3857;POINT(482178.572303 6581267.619896),2020-06-01 08:22:34.737097+02
2,2,2020-06-01,1,SRID=3857;POINT(482177.354008 6581272.469201),2020-06-01 08:22:35.237097+02
2,2,2020-06-01,1,SRID=3857;POINT(482176.135714 6581277.318506),2020-06-01 08:22:35.612097+02
2,2,2020-06-01,1,SRID=3857;POINT(482175.175751 6581281.139545),2020-06-01 08:22:47.134018+02
2,2,2020-06-01,1,SRID=3857;POINT(482174.335792 6581286.068487),2020-06-01 08:22:48.494461+02
2,2,2020-06-01,1,SRID=3857;POINT(482173.495832 6581290.997429),2020-06-01 08:22:49.207869+02
2,2,2020-06-01,1,SRID=3857;POINT(482172.655873 6581295.926371),2020-06-01 08:22:49.691337+02
2,2,2020-06-01,1,SRID=3857;POINT(482171.815914 6581300.855313),2020-06-01 08:22:50.05696+02
2,2,2020-06-01,1,SRID=3857;POINT(482169.296037 6581315.642139),2020-06-01 08:22:51.13696+02
2,2,2020-06-01,1,SRID=3857;POINT(482169.296037 6581315.642139),2020-06-01 08:22:51.262652+02
2,2,2020-06-01,1,SRID=3857;POINT(482169.053179 6581317.067246),2020-06-01 08:22:51.696347+02
2,2,2020-06-01,1,SRID=3857;POINT(482168.499812 6581322.03653),2020-06-01 08:22:52.446347+02
2,2,2020-06-01,1,SRID=3857;POINT(482167.946446 6581327.005814),2020-06-01 08:22:52.946347+02
2,2,2020-06-01,1,SRID=3857;POINT(482167.393079 6581331.975098),2020-06-01 08:22:53.321347+02
2,2,2020-06-01,1,SRID=3857;POINT(482166.839712 6581336.944383),2020-06-01 08:22:53.681347+02
2,2,2020-06-01,1,SRID=3857;POINT(482166.626414 6581338.859822),2020-06-01 08:23:00.187465+02
2,2,2020-06-01,1,SRID=3857;POINT(482166.407005 6581343.855006),2020-06-01 08:23:01.565042+02
2,2,2020-06-01,1,SRID=3857;POINT(482166.187597 6581348.85019),2020-06-01 08:23:02.283134+02
2,2,2020-06-01,1,SRID=3857;POINT(482165.968188 6581353.845373),2020-06-01 08:23:02.768748+02
2,2,2020-06-01,1,SRID=3857;POINT(482165.968188 6581353.845373),2020-06-01 08:23:03.029616+02
2,2,2020-06-01,1,SRID=3857;POINT(482165.813782 6581357.360674),2020-06-01 08:23:04.085222+02
2,2,2020-06-01,1,SRID=3857;POINT(482165.691781 6581362.359185),2020-06-01 08:23:04.835222+02
2,2,2020-06-01,1,SRID=3857;POINT(482165.569781 6581367.357697),2020-06-01 08:23:05.335222+02
2,2,2020-06-01,1,SRID=3857;POINT(482165.447781 6581372.356208),2020-06-01 08:23:05.710222+02
2,2,2020-06-01,1,SRID=3857;POINT(482164.837779 6581397.348765),2020-06-01 08:23:07.510222+02
2,2,2020-06-01,1,SRID=3857;POINT(482164.715779 6581402.347276),2020-06-01 08:23:08.164767+02
2,2,2020-06-01,1,SRID=3857;POINT(482164.593779 6581407.345788),2020-06-01 08:23:08.620463+02
2,2,2020-06-01,1,SRID=3857;POINT(482163.495776 6581452.33239),2020-06-01 08:23:11.860463+02
2,2,2020-06-01,1,SRID=3857;POINT(482163.373776 6581457.330901),2020-06-01 08:23:12.760463+02
2,2,2020-06-01,1,SRID=3857;POINT(482163.251776 6581462.329413),2020-06-01 08:23:13.322963+02
2,2,2020-06-01,1,SRID=3857;POINT(482163.251776 6581462.329413),2020-06-01 08:23:14.013713+02
2,2,2020-06-01,1,SRID=3857;POINT(482163.231169 6581463.173669),2020-06-01 08:23:14.267065+02
2,2,2020-06-01,1,SRID=3857;POINT(482163.319951 6581468.17288),2020-06-01 08:23:15.017065+02
2,2,2020-06-01,1,SRID=3857;POINT(482163.408732 6581473.172092),2020-06-01 08:23:15.517065+02
2,2,2020-06-01,1,SRID=3857;POINT(482163.487204 6581477.590817),2020-06-01 08:23:20.623499+02
2,2,2020-06-01,1,SRID=3857;POINT(482164.54671 6581482.477272),2020-06-01 08:23:21.814316+02
2,2,2020-06-01,1,SRID=3857;POINT(482165.606216 6581487.363728),2020-06-01 08:23:22.478139+02
2,2,2020-06-01,1,SRID=3857;POINT(482166.665722 6581492.250183),2020-06-01 08:23:22.938312+02
2,2,2020-06-01,1,SRID=3857;POINT(482169.844239 6581506.90955),2020-06-01 08:23:24.018312+02
2,2,2020-06-01,1,SRID=3857;POINT(482169.888075 6581507.111722),2020-06-01 08:23:24.041226+02
2,2,2020-06-01,1,SRID=3857;POINT(482171.289327 6581511.911357),2020-06-01 08:23:24.44572+02
2,2,2020-06-01,1,SRID=3857;POINT(482178.295585 6581535.90953),2020-06-01 08:23:26.24572+02
2,2,2020-06-01,1,SRID=3857;POINT(482178.295585 6581535.90953),2020-06-01 08:23:28.157369+02
2,2,2020-06-01,1,SRID=3857;POINT(482178.671183 6581537.196045),2020-06-01 08:23:28.559435+02
2,2,2020-06-01,1,SRID=3857;POINT(482179.879914 6581542.047742),2020-06-01 08:23:29.309435+02
2,2,2020-06-01,1,SRID=3857;POINT(482181.088645 6581546.89944),2020-06-01 08:23:29.809435+02
2,2,2020-06-01,1,SRID=3857;POINT(482182.297376 6581551.751138),2020-06-01 08:23:30.184435+02
2,2,2020-06-01,1,SRID=3857;POINT(482182.890192 6581554.130627),2020-06-01 08:23:34.564065+02
2,2,2020-06-01,1,SRID=3857;POINT(482183.476416 6581559.096142),2020-06-01 08:23:35.848339+02
2,2,2020-06-01,1,SRID=3857;POINT(482184.062639 6581564.061658),2020-06-01 08:23:36.540228+02
2,2,2020-06-01,1,SRID=3857;POINT(482184.648863 6581569.027173),2020-06-01 08:23:37.013716+02
2,2,2020-06-01,1,SRID=3857;POINT(482184.648863 6581569.027173),2020-06-01 08:23:37.309915+02
2,2,2020-06-01,1,SRID=3857;POINT(482184.982998 6581571.857405),2020-06-01 08:23:38.164881+02
2,2,2020-06-01,1,SRID=3857;POINT(482185.514539 6581576.829071),2020-06-01 08:23:38.914881+02
2,2,2020-06-01,1,SRID=3857;POINT(482186.046081 6581581.800737),2020-06-01 08:23:39.414881+02
2,2,2020-06-01,1,SRID=3857;POINT(482186.419019 6581585.288942),2020-06-01 08:23:50.733933+02
2,2,2020-06-01,1,SRID=3857;POINT(482187.297503 6581590.211163),2020-06-01 08:23:52.106329+02
2,2,2020-06-01,1,SRID=3857;POINT(482188.175987 6581595.133385),2020-06-01 08:23:52.823011+02
2,2,2020-06-01,1,SRID=3857;POINT(482188.222395 6581595.393415),2020-06-01 08:23:52.978369+02
2,2,2020-06-01,1,SRID=3857;POINT(482190.883348 6581599.626538),2020-06-01 08:23:53.97171+02
2,2,2020-06-01,1,SRID=3857;POINT(482191.940466 6581601.308234),2020-06-01 08:23:54.209117+02
2,2,2020-06-01,1,SRID=3857;POINT(482196.18555 6581598.666404),2020-06-01 08:23:54.63646+02
2,2,2020-06-01,1,SRID=3857;POINT(482204.675717 6581593.382745),2020-06-01 08:23:55.35646+02
2,2,2020-06-01,1,SRID=3857;POINT(482204.675717 6581593.382745),2020-06-01 08:23:55.580114+02
2,2,2020-06-01,1,SRID=3857;POINT(482207.102181 6581591.872691),2020-06-01 08:23:56.437504+02
2,2,2020-06-01,1,SRID=3857;POINT(482211.268851 6581589.108843),2020-06-01 08:23:57.187504+02
2,2,2020-06-01,1,SRID=3857;POINT(482215.435522 6581586.344995),2020-06-01 08:23:57.687504+02
2,2,2020-06-01,1,SRID=3857;POINT(482219.602192 6581583.581146),2020-06-01 08:23:58.062504+02
2,2,2020-06-01,1,SRID=3857;POINT(482269.602238 6581550.414968),2020-06-01 08:24:02.382504+02
2,2,2020-06-01,1,SRID=3857;POINT(482272.413326 6581548.550309),2020-06-01 08:24:02.625381+02
2,2,2020-06-01,1,SRID=3857;POINT(482276.453022 6581545.60398),2020-06-01 08:24:02.985381+02
2,2,2020-06-01,1,SRID=3857;POINT(482276.453022 6581545.60398),2020-06-01 08:24:05.236519+02
2,2,2020-06-01,1,SRID=3857;POINT(482277.723266 6581544.677535),2020-06-01 08:24:05.708179+02
2,2,2020-06-01,1,SRID=3857;POINT(482281.8147 6581541.803484),2020-06-01 08:24:06.458179+02
2,2,2020-06-01,1,SRID=3857;POINT(482285.906133 6581538.929433),2020-06-01 08:24:06.958179+02
2,2,2020-06-01,1,SRID=3857;POINT(482288.398805 6581537.178441),2020-06-01 08:24:17.388181+02
2,2,2020-06-01,1,SRID=3857;POINT(482292.291584 6581534.040564),2020-06-01 08:24:18.76734+02
2,2,2020-06-01,1,SRID=3857;POINT(482296.184363 6581530.902687),2020-06-01 08:24:19.485862+02
2,2,2020-06-01,1,SRID=3857;POINT(482300.077142 6581527.76481),2020-06-01 08:24:19.971673+02
2,2,2020-06-01,1,SRID=3857;POINT(482303.969921 6581524.626933),2020-06-01 08:24:20.338634+02
2,2,2020-06-01,1,SRID=3857;POINT(482311.755478 6581518.351179),2020-06-01 08:24:21.058634+02
2,2,2020-06-01,1,SRID=3857;POINT(482312.399287 6581517.83222),2020-06-01 08:24:23.27338+02
2,2,2020-06-01,1,SRID=3857;POINT(482316.542886 6581515.033901),2020-06-01 08:24:24.622286+02
2,2,2020-06-01,1,SRID=3857;POINT(482320.686485 6581512.235582),2020-06-01 08:24:25.332509+02
